ID	CourseNumber	Requirement_type	Specialization	Req_subtype
1	BUSI610	1	MPP/MBA	
2	BUSI611	1	MPP/MBA	
3	BUSI621	1	MPP/MBA	
4	BUSI622	1	MPP/MBA	
5	BUSI630	1	MPP/MBA	
6	BUSI634	1	MPP/MBA	
7	BUSI640	1	MPP/MBA	
8	BUSI650	1	MPP/MBA	
9	BUSI662	1	MPP/MBA	
10	BUSI681	1	MPP/MBA	
11	BUSI683	1	MPP/MBA	
12	BUSI690	1	MPP/MBA	
13	EDPS615	2	EDUC	
14	PUAF698A	4	ENV	
18	PUAF699Z	4	ENV	
19	PUAF698B	4	ENV	
21	PUAF698W	4	ENV	
22	PUAF798W	4	ENV	
23	PUAF689V	4	IDEV	
24	PUAF689V	4	ISEP	
25	PUAF689P	4	NML	
26	PUAF689Y	4	NML	
29	PUAF610	1	FAM	Stat
31	PUAF610	1	ENV	Stat
33	PUAF610	1	IDEV	Stat
34	PUAF610	1	ISEP	Stat
35	PUAF610	1	ML	Stat
36	PUAF610	1	PSFM	Stat
37	PUAF610	1	SOC	Stat
38	PUAF611	4	FAM	
40	PUAF611	4	ENV	
42	PUAF611	4	IDEV	
43	PUAF611	4	ISEP	
46	PUAF611	2	SOC	
47	PUAF620	1	FAM	Political
49	PUAF620	1	ENV	Political
51	PUAF620	1	IDEV	Political
52	PUAF620	1	ISEP	Political
53	PUAF620	1	ML	Political
54	PUAF620	1	PSFM	Political
55	PUAF620	1	SOC	Political
56	PUAF640	1	FAM	Micro
58	PUAF640	1	ENV	Micro
60	PUAF640	1	IDEV	Micro
61	PUAF640	1	ISEP	Micro
62	PUAF640	1	ML	Micro
63	PUAF640	1	PSFM	Micro
64	PUAF640	1	SOC	Micro
65	PUAF641	1	ENV	Macro/Finance
66	PUAF641	1	IDEV	Macro
67	PUAF641	1	ISEP	Macro
68	PUAF650	1	FAM	Ethics
70	PUAF650	1	ENV	Ethics
72	PUAF650	1	IDEV	Ethics
73	PUAF650	1	ISEP	Ethics
74	PUAF650	1	ML	Ethics
75	PUAF650	1	PSFM	Ethics
76	PUAF650	1	SOC	Ethics
77	PUAF660	3	ENV	
78	PUAF670	1	FAM	Finance
80	PUAF670	1	ENV	Micro/Finance
82	PUAF670	1	ML	Finance
83	PUAF670	1	PSFM	Finance
84	PUAF670	1	SOC	Micro/Finance
85	PUAF688P	4	HLTH	
86	PUAF689A	2	FAM	
87	PUAF689F	2	FAM	
88	PUAF698G	2	FAM	
89	PUAF692	4	FAM	
90	PUAF692	4	ML	Management
91	PUAF692	5	PSFM	
92	PUAF698D	4	SOC	
93	PUAF698F	4	SOC	
94	PUAF698G	4	SOC	
95	PUAF698I	4	ENV	
96	PUAF698I	4	IDEV	
97	PUAF698I	4	ISEP	
98	PUAF698K	4	HLTH	
99	PUAF698L	4	ENV	
100	PUAF698N	4	ISEP	
101	PUAF698O	4	IDEV	
102	PUAF698O	4	ISEP	
103	PUAF698Q	4	IDEV	
104	PUAF698R	2	IDEV	
108	PUAF689B	4	FAM	
113	PUAF689B	4	ENV	
123	PUAF698X	4	ISEP	
124	PUAF689B	4	ISEP	
126	PUAF689B	1	ML	Micro
128	PUAF698Q	4	FAM	
129	PUAF698Q	4	ML	Management
130	PUAF698Q	5	PSFM	
133	PUAF689B	4	SOC	
135	PUAF698x	4	SOC	
136	PUAF699C	5	ML	Management
137	PUAF699C	4	FAM	
