"UID"	"Sem"	"Class"	"Core"	"Section"	"Description"	"Transfer"	"Spec_Att"	"Credits"	"Grade"	"Current"
"a1099b878x906"	1108				"-- (Last active semester) --"			0		
"a815b594x622"	1208				"-- (Last active semester) --"			0		
"a698b477x505"	1208				"-- (Last active semester) --"			0		
"a866b645x673"	1208				"-- (Last active semester) --"			0		
"a614b393x421"	1301				"-- (Last active semester) --"			0		
"a640b419x447"	1301				"-- (Last active semester) --"			0		
"a807b586x614"	1301				"-- (Last active semester) --"			0		
"a963b742x770"	1301				"-- (Last active semester) --"			0		
"a853b632x660"	1308				"-- (Last active semester) --"			0		
"a685b464x492"	1308				"-- (Last active semester) --"			0		
"a795b574x602"	1308				"-- (Last active semester) --"			0		
"a831b610x638"	1308				"-- (Last active semester) --"			0		
"a697b476x504"	1308				"-- (Last active semester) --"			0		
"a1024b803x831"	1308				"-- (Last active semester) --"			0		
"a983b762x790"	1308				"-- (Last active semester) --"			0		
"a991b770x798"	1308				"-- (Last active semester) --"			0		
"a1025b804x832"	1308				"-- (Last active semester) --"			0		
"a1091b870x898"	1401				"-- (Last active semester) --"			0		
"a872b651x679"	1401				"-- (Last active semester) --"			0		
"a956b735x763"	1401				"-- (Last active semester) --"			0		
"a836b615x643"	1401				"-- (Last active semester) --"			0		
"a1057b836x864"	1401				"-- (Last active semester) --"			0		
"a770b549x577"	1401				"-- (Last active semester) --"			0		
"a641b420x448"	1401				"-- (Last active semester) --"			0		
"a775b554x582"	1401				"-- (Last active semester) --"			0		
"a899b678x706"	1401				"-- (Last active semester) --"			0		
"a869b648x676"	1401				"-- (Last active semester) --"			0		
"a1018b797x825"	1401				"-- (Last active semester) --"			0		
"a650b429x457"	1401				"-- (Last active semester) --"			0		
"a751b530x558"	1401				"-- (Last active semester) --"			0		
"a731b510x538"	1401				"-- (Last active semester) --"			0		
"a1000b779x807"	1401				"-- (Last active semester) --"			0		
"a688b467x495"	1401				"-- (Last active semester) --"			0		
"a989b768x796"	1401				"-- (Last active semester) --"			0		
"a1042b821x849"	1401				"-- (Last active semester) --"			0		
"a737b516x544"	1401				"-- (Last active semester) --"			0		
"a896b675x703"	1401				"-- (Last active semester) --"			0		
"a997b776x804"	1401				"-- (Last active semester) --"			0		
"a653b432x460"	1401				"-- (Last active semester) --"			0		
"a871b650x678"	1401				"-- (Last active semester) --"			0		
