"UID"	"Sem"	"Fulltime_sis"	"Fulltime_our"	"Eligible"	"Off_campus"	"M"	"P"	"C"	"Degree"	"Secondary"	"Continue"
"a1000b779x807"	607		"(n/a)"								
"a1000b779x807"	605		"(n/a)"								
"a1000b779x807"	601	"X"									
"a1000b779x807"	512	"X"									
"a1000b779x807"	508	"X"									
"a1000b779x807"	501	"X"									
"a1000b779x807"	412	"X"									
"a1000b779x807"	408	"X"									
"a1000b779x807"	401	"X"									
"a1000b779x807"	308	"X"									
"a1000b779x807"	301	"X"									
"a1000b779x807"	208	"X"									
"a1000b779x807"	1408									"MAPO"	
"a1000b779x807"	1407					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1405					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1401					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1312					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1308					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1307					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1305					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1301					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1212					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1208					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1207					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1205					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1201					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1112					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1108					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1107					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1105					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1101					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1012					"X"			"M.P.P."	"MAPO"	
"a1000b779x807"	1008					"X"			"M.P.P."	"MAPO"	
"a1001b780x808"	1408	"X"								"MAPO"	
"a1001b780x808"	1407					"X"			"M.P.P."	"MAPO"	
"a1001b780x808"	1405	"NR"				"X"			"M.P.P."	"MAPO"	
"a1001b780x808"	1401	"X"				"X"			"M.P.P."	"MAPO"	
"a1001b780x808"	1312					"X"			"M.P.P."	"MAPO"	
"a1001b780x808"	1308	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1006b785x813"	1207							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1205							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1201							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1112							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1108							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1107							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1105							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1101							"X"	"A.S.S."	"GRAD"	
"a1006b785x813"	1408									"MAMG"	
"a1006b785x813"	1407					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1405					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1401					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1312					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1308					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1307					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1305					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1301					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1212					"X"			"M.P.M."	"MAMG"	
"a1006b785x813"	1208					"X"			"M.P.M."	"MAMG"	
"a1007b786x814"	1408									"MAPO"	
"a1007b786x814"	1407					"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1405					"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1401					"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1312					"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1308	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1307					"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1305					"X"			"M.P.P."	"MAPO"	
"a1007b786x814"	1301	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1408									"MAPO"	
"a1011b790x818"	1407					"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1405					"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1401	"X"				"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1312					"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1308	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1307	"X"	"(n/a)"			"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1305	"NR"				"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1301	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1212					"X"			"M.P.P."	"MAPO"	
"a1011b790x818"	1208	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1012b791x819"	1101	"X"									
"a1012b791x819"	1408									"MAMG"	
"a1012b791x819"	1407					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1405					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1401					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1312					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1308					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1307					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1305	"NR"				"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1301					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1212	"X"				"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1208					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1207					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1205					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1201					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1112					"X"			"M.P.M."	"MAMG"	
"a1012b791x819"	1108					"X"			"M.P.M."	"MAMG"	
"a1013b792x820"	1408									"MAPO"	
"a1013b792x820"	1407					"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1405					"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1401	"X"				"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1312					"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1308	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1307	"X"	"(n/a)"			"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1305					"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1301	"X"	"X"			"X"			"M.P.P."	"MAPO"	
"a1013b792x820"	1212					"X"			"M.P.P."	"MAPO"	
