"UID"	"M_Start"	"M_Finish"	"M_Graduate"	"P_Start"	"P_Finish"	"P_Graduate"	"C_Start"	"C_Finish"
"a1000b779x807"	201008	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1001b780x808"	201308	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1006b785x813"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1007b786x814"	201301	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1011b790x818"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1012b791x819"	201108	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1013b792x820"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1015b794x822"	201001	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1016b795x823"	201301	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1019b798x826"	201401	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1021b800x828"	201308	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1023b802x830"	201401	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1024b803x831"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1025b804x832"	201308	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1030b809x837"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1031b810x838"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1035b814x842"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1036b815x843"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1037b816x844"	201305	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1042b821x849"	201008	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1043b822x850"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1047b826x854"	201308	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1049b828x856"	201208	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1052b831x859"	201305	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1055b834x862"	201308	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
"a1059b838x866"	201401	"-(n/a)"	"(Graduated:No)"	"(n/a)"	"-(n/a)"	"(Graduated:No)"		
